! recostruction matrix elements for HMS, tune HMS-100
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
! as of 02/20/97, no z offset included: this statement is obsolete
! created: 06/28/98
! zeroth order matrix elements from fitting:
! <theta|> -4.7276368293E-03 rad
! <y|> -1.1606458055E-04 m
! <phi|>  4.8280702357E-05 rad 
! <p|> -3.8725980576E-03 %
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
!   For xptar include xtar correction from SIMC COSY file
!   fitted new xptar using the xtar correction with xtar mztrix fixed
!   fitted new ytar and yptar for extended target
!   May 15th , 2009 , 3rd iteration of xptar fit
 ---------------------------------------------------------------------
   -0.00343320596 -8.55129322e-05  0.000273135681               0 00000
      -52.5852279     -200.978686      81.4580451      52657.7588 02120
       142.522292     -2359.18697      1327.62061     -3998.95843 10220
      -58.2659436     -69.4586466      55.4094928      25102.1443 01220
       282.020627     -1084.64042      118.208694      90.2668576 00320
       182.594676      4330.24128     -1488.75985        -930.899 20030
      -23.8540548      171.276363     -55.5206111      39788.7678 11030
      -5.57891255      4.69102016    -0.240183598     -118752.747 02030
       6.66052289     -684.122283      346.147541      29493.1698 10130
      -10.9580595     -60.5814994      29.4036682     -259877.198 01130
       52.3300111     -268.735949      28.6135445      1100.41524 00230
      0.209368016     -109.125099      59.9089141     -13196.6766 10040
      -2.16990623     -11.5776505       6.0083469      303094.278 01040
       4.04960821     -62.5065007      11.5967446     -17333.4694 00140
     -0.274692555      -12.191334       3.0795073      30963.1531 00050
        169.57368               0               0               0 40001
      -1188.40309               0               0               0 31001
      -2564.00859               0               0               0 22001
      -796.126266               0               0               0 13001
      -170.135856               0               0               0 04001
       25.2737324               0               0               0 30101
      -302.117798               0               0               0 21101
       10.5088748               0               0               0 12101
       17.9545609               0               0               0 03101
       393.042869               0               0               0 20201
      -2654.79358               0               0               0 11201
      -675.207959               0               0               0 02201
       31.5374558               0               0               0 10301
      -66.2872749               0               0               0 01301
       11.0483668               0               0               0 00401
       53.9952733               0               0               0 30011
       19.8514223               0               0               0 21011
       6.99512779               0               0               0 12011
       2.03058969               0               0               0 03011
      -414.755722               0               0               0 20111
      -242.924295               0               0               0 11111
      -53.2831769               0               0               0 02111
